date,open,high,low,close,volume
2025-02-03,105.0,108.0,104.5,107.5,9527540
2025-02-04,108.0,108.5,106.5,106.5,4895572
2025-02-05,108.0,109.5,107.5,108.5,6098712
2025-02-06,109.0,109.5,108.0,108.5,3934108
2025-02-07,108.5,109.0,106.5,107.5,4356847
2025-02-10,107.5,109.0,107.0,108.5,7043856
2025-02-11,109.0,109.0,108.0,108.0,3412332
2025-02-12,108.5,109.0,107.5,108.0,4047702
2025-02-13,108.5,112.0,108.5,111.0,19461318
2025-02-14,111.5,111.5,109.0,109.0,5002204
2025-02-17,110.0,111.5,109.5,111.0,6385245
2025-02-18,111.0,111.5,110.5,111.5,5487485
2025-02-19,111.5,113.5,110.0,111.0,12294757
2025-02-20,111.0,112.0,109.5,111.5,11629896
2025-02-21,111.5,112.0,110.5,112.0,5201860
2025-02-24,111.5,113.0,110.5,111.5,5796940
2025-02-25,111.0,112.5,110.5,111.5,8962167
2025-02-26,111.5,112.0,109.5,112.0,10415889
2025-02-27,111.5,111.5,106.0,107.0,23529426
2025-03-03,107.0,110.0,106.5,109.5,11614960
2025-03-04,108.0,110.0,107.5,109.0,12175179
2025-03-05,109.5,110.0,108.5,109.0,7571795
2025-03-06,109.5,110.0,107.0,107.5,6433039
2025-03-07,107.5,108.5,106.5,106.5,6559735
2025-03-10,107.0,108.0,105.5,106.5,7010210
2025-03-11,105.0,106.5,104.5,105.0,11590151
2025-03-12,106.5,108.5,106.0,107.0,6312948
2025-03-13,108.0,108.5,105.0,105.5,7462950
2025-03-14,106.0,106.5,105.0,105.5,5977471
2025-03-17,108.0,108.0,106.5,107.0,5334580
2025-03-18,107.5,108.5,105.5,107.0,7521922
2025-03-19,107.5,108.0,105.0,105.5,7431145
2025-03-20,103.5,104.5,102.5,102.5,9356286
2025-03-21,104.0,105.0,103.0,104.0,16398796
2025-03-24,104.0,105.0,101.5,101.5,8139480
2025-03-25,102.5,103.0,100.0,100.0,11656622
2025-03-26,101.0,102.0,100.5,101.5,7485123
2025-03-27,101.0,102.0,100.0,101.5,6579388
2025-03-28,100.0,100.0,97.3,98.0,14685843
2025-03-31,95.5,95.9,90.9,90.9,18148753
2025-04-01,92.8,95.3,92.6,94.3,8529869
2025-04-02,94.0,95.3,93.9,94.8,4316114
2025-04-07,85.4,85.4,85.4,85.4,2197008
2025-04-08,78.0,81.0,76.9,76.9,17834960
2025-04-09,72.9,76.9,70.5,71.6,19688722
2025-04-10,78.7,78.7,78.7,78.7,3338764
2025-04-11,75.8,86.0,75.8,85.6,20342299
2025-04-14,88.9,90.8,86.7,87.2,15722192
2025-04-15,87.8,91.0,87.3,89.6,9752512
2025-04-16,88.9,90.2,88.5,88.8,6356047
2025-04-17,88.5,88.8,87.1,88.1,7502919
2025-04-18,88.7,90.1,88.6,89.0,4642986
2025-04-21,89.0,89.9,88.8,88.8,4977520
2025-04-22,87.9,89.4,87.9,88.8,6985776
2025-04-23,90.0,90.3,89.5,89.9,8047994
2025-04-24,90.0,90.7,89.6,89.9,6149477
2025-04-25,91.0,92.4,91.0,91.7,3770796
2025-04-28,92.3,94.0,92.1,93.5,4046075
2025-04-29,93.2,95.0,92.1,93.8,7248939
2025-04-30,93.1,96.2,93.1,96.0,7305676
2025-05-02,96.6,101.0,95.7,100.5,13801434
2025-05-05,101.5,102.0,98.9,100.5,9061585
2025-05-06,100.0,103.0,99.9,100.0,10371161
2025-05-07,100.5,101.5,98.9,99.3,6569876
2025-05-08,99.7,100.5,98.8,98.9,5771564
2025-05-09,99.5,101.5,98.9,100.5,9072938
2025-05-12,100.5,101.5,100.5,101.0,3824165
2025-05-13,101.5,102.5,101.0,101.5,7742015
2025-05-14,102.0,103.5,102.0,103.0,6694655
2025-05-15,103.0,103.5,102.5,103.0,3739550
2025-05-16,102.5,104.0,100.5,102.0,7080159
2025-05-19,101.0,103.0,100.5,101.0,5118767
2025-05-20,102.5,103.0,101.0,101.0,3166163
2025-05-21,102.0,104.5,101.5,104.5,8921473
2025-05-22,103.0,104.0,101.5,102.5,7024849
2025-05-23,102.0,102.5,100.5,101.0,6692130
2025-05-26,101.5,101.5,100.0,101.5,8123690
2025-05-27,101.5,103.5,100.5,101.5,13065607
2025-05-28,102.5,103.0,100.5,103.0,13238678
2025-05-29,103.5,104.0,101.0,101.5,18471607
2025-06-02,101.0,101.5,100.0,101.0,7013450
2025-06-03,101.5,103.5,101.0,103.0,8630547
2025-06-04,103.5,107.5,103.5,106.0,15950113
2025-06-05,106.0,107.5,105.0,106.0,9961892
2025-06-06,106.0,107.0,105.5,106.0,4476941
2025-06-09,107.0,107.0,104.5,105.5,3196263
2025-06-10,105.5,107.0,105.0,107.0,4658085
2025-06-11,107.0,107.5,104.0,106.0,9783310
2025-06-12,106.0,107.5,105.5,107.5,5462093
2025-06-13,107.0,108.5,106.0,108.5,8772918
2025-06-16,107.5,108.5,107.0,108.5,3681739
2025-06-17,109.0,109.5,107.0,107.5,5088998
2025-06-18,108.5,109.5,107.5,108.5,5646590
2025-06-19,108.5,109.0,107.0,107.0,2721306
2025-06-20,107.0,108.5,106.0,107.0,14538268
2025-06-23,106.0,107.5,105.5,106.0,6670307
2025-06-24,108.0,110.0,107.5,109.0,10043147
2025-06-25,109.0,110.0,108.0,109.5,5287120
2025-06-26,110.0,112.0,110.0,111.0,11433945
2025-06-27,111.5,112.5,110.5,111.5,11143378
2025-06-30,111.0,112.5,109.5,110.5,9395829
2025-07-01,111.0,112.5,110.5,111.5,7236793
2025-07-02,110.5,112.5,110.5,112.0,6053589
2025-07-03,112.0,115.0,112.0,115.0,15130188
2025-07-04,115.0,116.5,112.5,113.5,9567325
2025-07-07,113.5,114.0,111.5,114.0,7664416
2025-07-08,114.0,115.0,113.0,114.5,7870213
2025-07-09,115.0,116.5,114.0,116.5,9244171
2025-07-10,116.0,118.0,115.0,117.5,10160252
2025-07-11,117.5,118.5,115.5,118.0,11071433
2025-07-14,117.5,118.0,114.0,115.5,5921135
2025-07-15,115.0,117.0,115.0,117.0,7463348
2025-07-16,117.0,118.0,116.5,117.0,12374838
2025-07-17,117.0,117.0,114.5,115.0,10255797
2025-07-18,115.5,116.5,114.5,116.0,5955483
2025-07-21,116.5,118.0,115.5,116.0,7258755
2025-07-22,116.5,118.5,114.5,115.0,10921766
2025-07-23,116.5,117.0,115.5,117.0,8714160
2025-07-24,117.0,118.0,115.5,116.5,7006775
2025-07-25,116.5,117.5,116.0,117.5,6387760
2025-07-28,118.5,126.5,118.5,124.5,31543485
2025-07-29,124.5,124.5,121.5,124.5,16089748
2025-07-30,124.5,128.0,123.5,126.0,17498310
2025-07-31,121.5,121.5,115.0,119.0,38023651
2025-08-01,116.5,122.5,115.5,121.5,21101469
2025-08-04,119.5,122.0,119.0,121.5,14053659
2025-08-05,125.0,133.5,122.5,133.5,60756283
2025-08-06,136.0,141.0,132.5,133.0,128300961
2025-08-07,135.0,142.5,133.0,137.5,69822230
2025-08-08,138.5,141.5,136.5,137.0,38130566
2025-08-11,137.5,141.5,134.5,140.5,39908762
2025-08-12,142.0,142.5,137.0,137.5,26942849
2025-08-13,140.0,141.0,135.5,137.0,35544365
2025-08-14,137.5,138.0,130.5,132.5,32354032
2025-08-15,132.5,136.0,130.5,134.0,24024659
2025-08-18,134.5,137.5,132.5,134.0,21679166
2025-08-19,132.5,133.0,127.0,127.5,32576457
2025-08-20,126.0,126.5,122.0,123.0,18330799
2025-08-21,124.5,127.5,123.5,125.0,17660711
2025-08-22,125.0,127.0,124.0,124.0,13900638
2025-08-25,127.0,127.5,124.5,125.0,10329127
2025-08-26,125.0,127.0,123.0,125.0,8871425
2025-08-27,125.0,133.0,124.0,131.0,28824994
2025-08-28,131.0,132.5,129.0,130.0,10836889
2025-08-29,131.0,135.0,130.0,130.0,23152125
2025-09-01,129.5,130.5,124.0,126.0,13897980
2025-09-02,127.0,128.5,122.5,125.0,12192391
2025-09-03,125.5,127.0,124.5,125.0,4836067
2025-09-04,126.0,128.0,125.0,125.5,12344708
2025-09-05,128.0,131.5,127.0,130.5,21545379
2025-09-08,133.5,135.0,130.5,134.0,21983813
2025-09-09,135.5,144.5,134.0,140.5,59240623
2025-09-10,150.0,154.5,149.5,154.5,20822620
2025-09-11,161.0,169.5,156.5,165.5,160599726
2025-09-12,169.0,173.0,160.5,163.0,87816778
2025-09-15,168.0,168.0,158.5,161.0,49112871
2025-09-16,161.0,167.0,160.0,167.0,44987528
2025-09-17,165.5,166.5,159.0,159.5,35686645
2025-09-18,159.5,168.0,159.5,164.5,42834068
2025-09-19,165.0,170.5,163.5,169.0,50127108
2025-09-22,168.5,185.5,167.0,185.5,66747712
2025-09-23,185.0,189.5,179.0,183.0,68259245
2025-09-24,184.0,186.5,174.0,175.0,48127570
2025-09-25,175.0,175.5,170.5,172.0,27376151
2025-09-26,168.5,170.5,161.0,163.5,32492448
2025-09-30,168.5,176.0,168.0,172.5,41834780
2025-10-01,173.0,174.0,169.0,169.5,24584656
2025-10-02,172.0,174.5,170.5,170.5,25703160
2025-10-03,171.0,174.0,168.0,172.0,22753417
2025-10-07,174.0,178.0,170.0,173.0,40013645
2025-10-08,170.5,174.0,168.0,172.0,21334236
2025-10-09,174.5,176.0,169.0,171.0,25183757
2025-10-13,162.0,170.0,161.0,168.0,24693057
2025-10-14,170.5,171.5,160.0,160.0,29250489
2025-10-15,160.5,163.5,158.5,161.5,35671295
2025-10-16,170.0,172.5,165.5,169.0,53538919
2025-10-17,167.0,169.0,164.0,165.5,25118689
2025-10-20,166.0,167.5,161.0,164.5,25076152
2025-10-21,166.0,169.5,164.0,165.5,23784896
2025-10-22,164.5,169.0,164.0,167.5,15219695
2025-10-23,165.0,173.5,164.5,170.5,26201669
2025-10-27,177.5,185.0,176.5,182.0,63265858
2025-10-28,181.0,194.0,180.0,188.5,68530039
2025-10-29,189.0,197.0,188.0,195.0,57329638
2025-10-30,185.0,186.0,175.5,181.0,106013672
2025-10-31,179.0,181.5,173.5,179.5,45567195
2025-11-03,180.0,181.5,177.0,180.0,29037097
2025-11-04,180.5,181.5,170.0,170.0,34225055
2025-11-05,165.0,169.5,164.0,169.0,20471360
2025-11-06,171.0,172.0,168.0,169.0,16548291
2025-11-07,168.0,169.0,165.5,166.5,12087601
2025-11-10,168.5,170.5,167.5,169.0,12470380
2025-11-11,171.0,175.0,167.5,167.5,16318136
2025-11-12,168.0,169.0,166.5,166.5,10572395
2025-11-13,167.0,168.0,164.0,164.5,18316036
2025-11-14,160.5,164.0,159.5,162.5,20868953
2025-11-17,163.0,165.0,161.5,162.5,17878211
2025-11-18,160.0,160.0,152.5,154.5,49387854
2025-11-19,154.5,156.5,150.0,153.5,32964363
2025-11-20,158.0,160.5,156.5,160.0,29854124
2025-11-21,154.5,155.5,150.5,153.5,25557881
2025-11-24,157.0,157.5,152.5,155.0,34493665
2025-11-25,158.0,158.5,154.0,154.5,22922967
2025-11-26,157.0,161.5,156.0,158.5,19947221
2025-11-27,159.5,160.0,158.0,158.0,9840705
2025-11-28,160.5,160.5,156.5,159.0,9048721
2025-12-01,158.5,162.0,156.0,159.0,11319678
2025-12-02,160.0,162.0,159.5,160.0,9729233
2025-12-03,160.5,161.5,159.0,160.0,8281413
2025-12-04,161.0,163.5,160.0,162.0,10303307
2025-12-05,162.5,164.5,159.0,160.0,9904010
2025-12-08,160.0,161.0,158.0,160.5,8776830
2025-12-09,160.0,161.5,159.0,159.0,6333966
2025-12-10,160.5,161.0,158.0,159.5,8047863
2025-12-11,159.0,161.0,153.5,153.5,15257305
2025-12-12,154.5,155.5,152.5,153.5,9256813
2025-12-15,148.5,153.0,148.0,151.5,7536112
2025-12-16,151.0,152.5,150.5,151.5,11195558
2025-12-17,152.5,156.0,152.0,154.5,9846989
2025-12-18,153.5,156.0,153.0,155.0,8851255
2025-12-19,157.0,161.0,156.0,159.5,17954983
2025-12-22,162.0,171.0,161.0,169.0,36831072
2025-12-23,169.0,169.0,163.0,163.0,14877931
2025-12-24,164.0,165.5,163.5,165.5,8636912
2025-12-26,165.5,165.5,160.5,162.5,16606801
2025-12-29,163.5,166.0,162.0,165.0,13449592
2025-12-30,164.0,165.5,161.0,162.0,14561517
2025-12-31,164.0,164.0,160.5,163.5,14463579
2026-01-02,164.5,171.5,164.5,167.0,24704090
2026-01-05,170.0,172.5,166.5,169.5,27328397
2026-01-06,170.0,171.0,166.5,170.5,19302766
2026-01-07,171.5,173.0,163.0,163.5,25905660
2026-01-08,163.5,164.5,160.0,161.5,12255306
2026-01-09,161.0,162.0,157.5,160.0,13640375
2026-01-12,162.0,165.5,162.0,164.5,11161468
2026-01-13,166.0,168.5,163.0,163.5,14483784
2026-01-14,163.5,168.5,162.5,167.0,14628426
2026-01-15,168.0,169.0,163.5,165.0,9905068
2026-01-16,166.0,172.0,165.5,166.0,22573921
2026-01-19,166.0,169.0,162.5,163.0,13796904
2026-01-20,161.0,163.0,159.5,161.5,11484784
2026-01-21,159.5,167.5,159.0,161.0,17617790
2026-01-22,166.0,177.0,166.0,177.0,54698973
2026-01-23,182.5,184.5,171.0,172.0,82732555
2026-01-26,171.5,174.0,165.5,167.0,29509746
2026-01-27,167.0,170.0,164.0,169.5,21946578
2026-01-28,170.5,174.5,167.5,172.5,28389917
2026-01-29,174.0,174.0,165.0,167.0,21179095
2026-01-30,165.5,166.5,161.5,164.0,16724517
2026-02-02,162.5,164.0,158.0,160.5,18031050
2026-02-03,163.5,171.5,162.0,170.5,22807522
2026-02-04,170.5,178.0,167.5,173.5,33575165
2026-02-05,170.0,172.0,165.0,165.5,20834939
2026-02-06,163.0,165.0,161.0,164.5,12317547
2026-02-09,169.0,174.0,167.0,173.5,26286133
2026-02-10,174.0,180.5,172.0,177.5,52348989
2026-02-11,175.5,181.0,174.0,179.5,33625719
2026-02-23,184.5,187.5,180.5,184.5,39472491
2026-02-24,186.5,194.0,183.5,193.5,38376937
2026-02-25,197.0,200.0,188.0,192.0,30447331
2026-02-26,185.0,185.5,173.0,173.0,98092075
2026-03-02,167.0,174.0,165.5,169.0,33393984
2026-03-03,170.0,171.0,164.0,165.0,29085972
2026-03-04,162.0,163.5,155.0,155.5,39068518
2026-03-05,161.5,162.5,158.5,161.0,24197040
2026-03-06,158.5,161.0,157.0,159.0,15607363
2026-03-09,147.0,150.0,146.0,149.0,21883775
2026-03-10,155.5,158.5,153.0,155.0,18333361
2026-03-11,157.5,161.0,157.5,159.0,12130179
2026-03-12,157.5,161.5,155.0,159.5,18215891
2026-03-13,158.0,171.5,157.5,167.0,27991686
2026-03-16,167.0,168.0,163.0,165.0,13174816
2026-03-17,165.0,169.5,164.5,168.0,18588175
2026-03-18,171.0,173.0,167.5,170.0,23443533
2026-03-19,164.5,165.0,160.5,160.5,20898618
2026-03-20,161.0,162.5,158.5,160.0,13701865
2026-03-23,153.5,157.0,151.0,154.0,10396796
2026-03-24,156.5,158.5,152.5,153.0,8715043
2026-03-25,158.5,161.5,156.5,157.5,14502718
2026-03-26,158.5,159.5,153.5,154.0,15055347
2026-03-27,153.5,154.5,149.0,152.0,13188257
