date,open,high,low,close,volume
2025-06-02,154.0,154.5,151.0,152.5,55748448
2025-06-03,153.5,155.0,151.5,151.5,38422320
2025-06-04,153.5,156.0,153.0,156.0,39837003
2025-06-05,156.5,157.0,155.5,155.5,34529119
2025-06-06,155.5,155.5,153.0,153.0,24170636
2025-06-09,155.0,155.5,154.0,154.5,18474613
2025-06-10,155.5,156.0,155.0,155.5,33025153
2025-06-11,156.5,157.5,155.5,156.0,27402761
2025-06-12,155.5,158.0,154.0,157.5,33551155
2025-06-13,157.0,158.5,156.0,156.5,37530090
2025-06-16,156.0,157.0,154.5,155.0,21896497
2025-06-17,156.5,157.0,154.5,155.0,25564725
2025-06-18,155.0,156.5,154.0,156.0,38500036
2025-06-19,155.5,156.0,154.0,154.0,20674399
2025-06-20,154.5,155.5,153.0,155.5,60372534
2025-06-23,153.0,156.0,152.0,156.0,49297718
2025-06-24,158.0,162.0,157.5,160.5,67130349
2025-06-25,161.5,162.0,160.0,162.0,48758589
2025-06-26,162.0,164.0,161.5,163.0,65708560
2025-06-27,163.0,165.5,162.5,165.0,75664710
2025-06-30,166.0,166.5,161.0,161.0,62308280
2025-07-01,161.5,166.0,161.0,165.5,103158692
2025-07-02,160.0,162.0,160.0,162.0,66421265
2025-07-03,164.0,164.5,163.0,164.0,46192607
2025-07-04,164.0,164.5,160.5,161.0,27987146
2025-07-07,161.0,162.0,159.5,161.0,24255997
2025-07-08,160.5,161.0,158.5,159.0,30781568
2025-07-09,159.5,161.5,159.0,161.0,29446200
2025-07-10,161.0,162.5,160.0,161.5,31990223
2025-07-11,161.5,162.5,160.5,161.5,21551645
2025-07-14,161.5,162.5,160.5,160.5,18862970
2025-07-15,160.0,163.0,160.0,163.0,20779193
2025-07-16,163.0,164.0,162.5,162.5,25282174
2025-07-17,163.0,164.0,162.5,164.0,20679892
2025-07-18,165.0,166.0,164.5,165.5,35368360
2025-07-21,166.0,166.5,164.5,165.0,17115644
2025-07-22,165.0,166.0,161.5,162.0,39452683
2025-07-23,163.5,166.0,163.5,166.0,51058093
2025-07-24,168.0,174.0,167.5,174.0,127736383
2025-07-25,175.5,175.5,173.0,174.5,57244442
2025-07-28,176.0,178.0,175.5,176.0,55666706
2025-07-29,175.0,175.5,171.0,171.5,49613588
2025-07-30,0.0,0.0,0.0,0.0,0
2025-07-31,178.0,179.0,176.0,178.0,90529600
2025-08-01,175.0,181.5,175.0,181.5,65361707
2025-08-04,179.5,181.0,178.5,180.0,44503796
2025-08-05,182.0,185.0,182.0,184.5,52169907
2025-08-06,185.5,188.5,184.0,186.0,68868790
2025-08-07,190.0,195.0,190.0,194.5,119398749
2025-08-08,197.0,197.0,193.5,194.5,65469369
2025-08-11,194.0,198.0,192.5,198.0,52291064
2025-08-12,198.5,199.0,195.5,197.0,38689326
2025-08-13,198.0,199.0,193.5,198.5,103356675
2025-08-14,197.5,200.0,197.0,199.5,78943020
2025-08-15,205.0,208.0,202.0,207.0,156672765
2025-08-18,207.5,210.0,206.0,210.0,73566364
2025-08-19,210.0,212.0,208.0,208.0,49978122
2025-08-20,206.0,206.5,200.0,200.5,124219182
2025-08-21,201.0,206.0,201.0,206.0,67845018
2025-08-22,208.0,208.0,202.0,202.5,54944456
2025-08-25,207.0,208.0,206.0,207.5,52074373
2025-08-26,207.0,209.0,206.0,209.0,42252559
2025-08-27,210.0,210.0,207.5,208.0,41852802
2025-08-28,207.5,207.5,204.0,206.0,48681221
2025-08-29,206.0,207.0,202.5,203.5,55250195
2025-09-01,203.0,204.5,197.0,198.5,70459817
2025-09-02,200.0,203.5,198.0,198.5,35779045
2025-09-03,198.5,201.0,197.0,200.5,34371962
2025-09-04,203.0,205.0,202.0,203.0,41864177
2025-09-05,205.5,206.5,203.0,205.0,39235404
2025-09-08,206.0,207.5,202.0,203.5,45711589
2025-09-09,204.5,208.0,204.0,207.5,64990917
2025-09-10,211.0,211.0,209.0,210.0,86104648
2025-09-11,212.0,216.5,209.0,214.5,133210297
2025-09-12,217.0,218.5,216.5,217.5,74001120
2025-09-15,218.5,218.5,213.0,216.0,56651315
2025-09-16,217.0,217.0,213.5,215.5,50810161
2025-09-17,214.0,214.5,211.0,212.0,57358177
2025-09-18,211.5,216.0,208.0,215.0,80554452
2025-09-19,216.5,217.0,214.0,214.0,60640765
2025-09-22,215.5,218.0,214.0,216.0,34758075
2025-09-23,218.0,222.0,217.5,221.0,106127922
2025-09-24,222.0,223.0,219.0,223.0,66406960
2025-09-25,223.0,231.0,222.5,230.0,126590277
2025-09-26,230.0,230.5,218.5,219.5,122225692
2025-09-30,224.0,224.0,215.5,216.0,92277798
2025-10-01,219.0,222.0,216.0,219.0,58600187
2025-10-02,221.5,226.0,221.0,225.5,73884573
2025-10-03,226.0,228.0,224.5,226.5,52446781
2025-10-07,230.0,231.5,225.0,228.5,66127414
2025-10-08,225.0,225.5,222.0,225.0,50104069
2025-10-09,227.0,227.0,221.0,221.5,56700891
2025-10-13,210.0,216.0,210.0,213.0,111260942
2025-10-14,216.0,217.5,205.0,206.0,108702039
2025-10-15,207.5,208.0,203.0,206.5,65964764
2025-10-16,215.0,225.5,211.5,223.0,154273795
2025-10-17,224.0,230.0,222.5,226.5,119855855
2025-10-20,230.0,239.5,229.0,238.5,152953266
2025-10-21,241.5,245.5,238.0,239.0,120698819
2025-10-22,238.0,243.0,236.5,242.5,71609786
2025-10-23,240.0,240.5,238.0,239.0,50955830
2025-10-27,249.0,249.0,243.0,246.5,80708542
2025-10-28,248.0,250.0,246.5,250.0,73662546
2025-10-29,254.0,263.0,253.0,260.0,125297120
2025-10-30,262.5,265.0,256.5,262.0,108445874
2025-10-31,261.0,262.0,257.0,257.5,63119828
2025-11-03,255.0,256.5,250.0,251.5,97190219
2025-11-04,252.0,255.0,244.0,244.0,95832447
2025-11-05,239.0,248.5,237.0,247.0,114664242
2025-11-06,249.5,250.5,246.0,248.0,65794425
2025-11-07,246.0,250.5,244.0,244.0,50319199
2025-11-10,245.0,250.0,244.0,249.5,51628691
2025-11-11,251.0,252.0,246.5,246.5,50821377
2025-11-12,248.0,252.0,245.0,251.0,65085447
2025-11-13,256.0,256.0,247.0,252.0,90541908
2025-11-14,246.5,247.0,241.0,241.0,112889692
2025-11-17,241.0,242.0,235.0,236.0,84874596
2025-11-18,231.5,237.0,230.0,230.0,77859170
2025-11-19,226.5,230.0,226.5,229.0,70909837
2025-11-20,237.0,238.0,232.5,236.5,78464576
2025-11-21,226.0,229.5,225.0,225.0,97471576
2025-11-24,226.5,227.0,220.0,220.0,100270276
2025-11-25,225.0,226.0,219.0,219.0,73643136
2025-11-26,221.0,228.0,221.0,227.0,68461990
2025-11-27,229.0,232.0,226.0,231.0,63038658
2025-11-28,229.5,229.5,225.0,225.5,56939840
2025-12-01,225.0,226.0,222.0,222.0,52409098
2025-12-02,220.5,225.0,220.5,222.0,49869243
2025-12-03,225.0,230.0,225.0,227.0,53110402
2025-12-04,230.0,230.0,227.5,228.5,25728854
2025-12-05,229.0,231.5,228.5,231.0,35103317
2025-12-08,231.5,232.0,229.0,232.0,29940997
2025-12-09,233.0,236.5,232.0,235.0,54359440
2025-12-10,236.0,236.0,232.0,233.5,36069288
2025-12-11,234.0,234.5,226.0,226.0,60054527
2025-12-12,227.0,228.5,225.0,227.0,29684376
2025-12-15,221.0,223.0,220.5,221.5,44481528
2025-12-16,220.0,220.5,215.0,218.0,63458370
2025-12-17,218.0,219.5,216.0,216.5,51129639
2025-12-18,214.5,217.0,213.5,216.0,50364181
2025-12-19,219.0,221.5,218.0,221.5,41562299
2025-12-22,224.5,225.5,223.0,224.0,40062169
2025-12-23,225.5,226.0,223.5,224.0,29629268
2025-12-24,225.5,227.5,224.0,224.0,36443763
2025-12-26,225.5,227.5,224.5,225.5,28935431
2025-12-29,227.0,233.0,226.5,231.0,57945280
2025-12-30,230.5,231.0,228.0,228.0,36162418
2025-12-31,228.5,231.5,228.0,230.5,41319239
2026-01-02,232.0,233.5,229.0,232.0,58776015
2026-01-05,234.5,236.0,233.5,234.5,64697110
2026-01-06,237.0,239.0,232.5,236.0,68919645
2026-01-07,237.5,241.5,235.0,238.5,88280139
2026-01-08,237.5,237.5,228.5,229.5,89498594
2026-01-09,230.0,232.0,227.0,230.5,37370013
2026-01-12,233.0,233.0,228.5,228.5,32968055
2026-01-13,230.0,230.5,226.0,226.5,45735375
2026-01-14,228.0,234.5,227.5,234.5,65365361
2026-01-15,234.0,234.0,231.0,233.5,35041875
2026-01-16,235.0,235.0,231.0,234.5,48950439
2026-01-19,233.5,233.5,229.0,229.5,53439088
2026-01-20,228.5,228.5,223.5,223.5,77123735
2026-01-21,221.0,225.0,219.0,219.0,81041618
2026-01-22,223.5,226.0,222.0,223.5,47823356
2026-01-23,225.5,226.5,221.5,221.5,34322647
2026-01-26,222.5,225.0,220.0,224.0,39852299
2026-01-27,226.0,227.0,224.0,225.5,37140264
2026-01-28,227.0,231.5,224.0,225.5,80017265
2026-01-29,226.5,227.5,222.0,224.0,56613117
2026-01-30,223.5,223.5,218.5,220.5,72547288
2026-02-02,219.5,220.0,213.5,214.5,65660345
2026-02-03,218.5,220.0,214.5,216.5,42920416
2026-02-04,214.5,219.0,214.0,219.0,27678218
2026-02-05,217.5,220.0,215.0,215.5,43304385
2026-02-06,215.0,216.5,210.5,215.0,56581372
2026-02-09,219.0,220.5,217.5,218.5,31063914
2026-02-10,220.0,222.0,218.0,221.0,47159412
2026-02-11,222.5,227.0,220.5,227.0,67662179
2026-02-23,229.5,231.0,227.0,228.5,89438337
2026-02-24,229.5,232.5,228.0,232.0,68380419
2026-02-25,235.0,247.0,234.5,246.5,168289021
2026-02-26,253.5,253.5,241.5,243.0,122692650
2026-03-02,234.0,241.0,232.5,239.0,75106481
