date,open,high,low,close,volume
2025-05-26,42.65,43.0,41.2,42.8,58152903
2025-05-27,42.5,43.1,41.6,41.95,46122338
2025-05-28,43.65,44.8,41.35,41.7,117457696
2025-05-29,42.45,45.85,42.2,45.55,164662019
2025-06-02,45.1,45.8,43.1,45.8,122785870
2025-06-03,46.05,46.95,44.6,45.85,149082580
2025-06-04,46.3,50.3,45.7,49.25,228816694
2025-06-05,50.1,53.9,49.3,52.5,220404931
2025-06-06,52.6,53.6,51.6,52.0,161087028
2025-06-09,52.8,54.0,51.3,51.7,116497517
2025-06-10,52.8,55.3,52.4,54.3,152748796
2025-06-11,55.2,55.3,52.1,52.7,117280175
2025-06-12,52.5,54.2,51.7,54.1,81256150
2025-06-13,53.6,55.2,52.5,53.5,106796704
2025-06-16,54.6,55.7,52.6,52.9,131943382
2025-06-17,53.5,54.4,53.4,53.8,73229269
2025-06-18,54.8,59.1,54.7,59.1,182835587
2025-06-19,60.5,61.5,58.9,60.4,235233977
2025-06-20,60.5,60.9,57.4,58.9,150606170
2025-06-23,57.8,59.4,57.3,58.4,96552674
2025-06-24,59.7,59.9,54.4,56.7,192564170
2025-06-25,56.6,58.4,54.9,55.0,137251151
2025-06-26,55.3,56.4,53.5,53.9,136818562
2025-06-27,54.8,55.2,52.9,53.1,89191262
2025-06-30,53.5,53.7,51.0,51.2,74175534
2025-07-01,51.9,52.3,49.4,49.5,107628711
2025-07-02,49.8,51.1,48.35,49.45,127779362
2025-07-03,49.9,51.0,49.3,50.6,104238892
2025-07-04,51.0,51.2,47.7,48.45,135338728
2025-07-07,48.5,49.3,47.8,48.9,66059789
2025-07-08,48.65,49.2,47.85,48.5,70051738
2025-07-09,48.6,48.85,47.95,48.4,47172849
2025-07-10,48.5,48.6,47.0,47.15,71747685
2025-07-11,46.0,46.35,42.5,42.95,134889618
2025-07-14,42.8,43.65,42.55,43.4,64343369
2025-07-15,43.15,43.4,41.3,41.75,85640177
2025-07-16,42.0,42.25,41.35,41.4,49275682
2025-07-17,41.4,44.2,41.25,43.1,107838585
2025-07-18,43.4,43.55,42.0,42.25,55679763
2025-07-21,42.4,42.6,41.55,41.95,32786842
2025-07-22,42.05,42.35,40.2,40.55,45012830
2025-07-23,41.05,43.45,41.0,43.05,75965064
2025-07-24,44.05,44.1,42.0,43.0,78163561
2025-07-25,42.9,43.75,42.8,43.25,41315347
2025-07-28,43.55,43.8,42.6,43.3,36354582
2025-07-29,43.0,43.75,42.15,42.2,33516080
2025-07-30,42.3,45.8,42.1,44.9,86797131
2025-07-31,44.9,45.5,43.6,44.55,74110049
2025-08-01,43.05,44.75,42.3,44.45,43114380
2025-08-04,43.65,44.6,43.1,43.75,30716389
2025-08-05,44.5,45.8,44.3,44.4,49796978
2025-08-06,44.6,44.6,43.35,43.35,28802563
2025-08-07,43.35,43.7,42.1,42.2,57758616
2025-08-08,42.5,46.2,42.45,43.95,94684747
2025-08-11,45.1,45.4,43.8,43.8,54973787
2025-08-12,45.05,47.95,45.05,47.45,107010806
2025-08-13,48.75,49.1,46.0,46.05,99339905
2025-08-14,46.1,47.15,45.55,46.35,36332995
2025-08-15,46.35,48.25,45.4,48.0,61881796
2025-08-18,47.5,48.4,47.1,47.35,61333443
2025-08-19,47.7,48.3,45.7,45.75,49762321
2025-08-20,45.25,46.15,44.05,44.55,40840948
2025-08-21,44.85,46.75,44.75,46.45,32445785
2025-08-22,46.1,46.35,45.0,45.35,20878785
2025-08-25,46.3,47.9,46.25,46.95,46093614
2025-08-26,46.8,47.55,46.25,47.45,21769684
2025-08-27,47.5,48.3,47.15,47.8,38564515
2025-08-28,48.0,48.0,46.65,46.65,25010560
2025-08-29,47.7,50.3,47.0,47.0,84741007
2025-09-01,46.85,47.5,45.85,46.75,27786909
2025-09-02,47.3,47.3,45.2,45.65,30642714
2025-09-03,46.25,47.85,46.05,46.35,38198651
2025-09-04,48.8,49.65,47.6,48.2,78540787
2025-09-05,49.4,53.0,49.1,53.0,162013609
2025-09-08,57.8,58.3,51.8,53.5,331104845
2025-09-09,53.5,55.9,52.8,53.9,118505197
2025-09-10,54.6,56.0,54.0,54.4,98707440
2025-09-11,55.5,59.0,55.4,56.5,168155667
2025-09-12,59.3,60.5,55.5,57.4,187210685
2025-09-15,60.1,63.1,57.4,63.1,254694617
2025-09-16,65.0,69.4,63.6,69.2,443163507
2025-09-17,69.2,73.7,67.7,73.3,353614328
2025-09-18,76.0,80.0,75.3,80.0,340363102
2025-09-19,81.0,81.4,78.6,79.2,219078657
2025-09-22,79.3,84.5,78.9,80.8,212268465
2025-09-23,80.8,81.0,78.3,81.0,46967368
2025-09-24,80.2,80.2,75.0,76.0,46123209
2025-09-25,74.3,78.4,74.3,76.6,26404083
2025-09-26,75.0,75.0,70.1,71.0,45605620
2025-09-30,73.5,75.0,72.5,73.0,31158952
2025-10-01,73.2,76.9,73.2,76.2,26053794
2025-10-02,81.2,81.2,79.2,79.7,32987374
2025-10-03,79.9,83.0,79.3,83.0,47766544
2025-10-07,87.2,91.2,87.2,91.2,52179282
2025-10-08,88.4,91.2,85.7,90.8,41561491
2025-10-09,96.7,99.8,92.0,98.5,219259632
2025-10-13,93.5,98.5,93.0,95.6,177182917
2025-10-14,98.1,101.0,87.1,89.1,371601393
2025-10-15,91.1,91.5,85.0,86.3,184866513
2025-10-16,89.2,94.9,89.2,94.9,139293308
2025-10-17,98.3,104.0,98.0,104.0,264907109
2025-10-20,108.0,110.0,104.0,107.0,216252568
2025-10-21,107.0,109.5,104.0,105.5,105119091
2025-10-22,103.0,111.0,102.0,110.0,104796480
2025-10-23,108.5,111.0,106.0,109.5,109837450
2025-10-27,120.0,120.0,120.0,120.0,27957079
2025-10-28,124.0,131.5,123.0,130.0,220692840
2025-10-29,132.0,136.5,125.5,133.0,194530568
2025-10-30,134.5,139.0,130.5,134.5,174638893
2025-10-31,133.5,134.0,127.5,132.5,124717002
2025-11-03,136.0,145.5,135.0,137.0,169158183
2025-11-04,141.0,143.0,131.0,131.5,152507836
2025-11-05,122.0,140.5,122.0,138.0,244967950
2025-11-06,142.0,149.0,139.0,148.0,276959366
2025-11-07,148.5,153.5,145.0,147.0,233103202
2025-11-10,153.0,161.5,151.0,161.5,180212057
2025-11-11,167.5,172.5,164.0,164.5,286107518
2025-11-12,160.0,166.5,158.0,163.0,192259424
2025-11-13,164.5,178.5,156.5,163.5,363056591
2025-11-14,156.0,162.0,150.5,158.5,219349095
2025-11-17,170.0,172.5,164.0,166.5,188655297
2025-11-18,165.0,168.0,156.0,160.5,192854043
2025-11-19,156.5,162.5,154.0,160.0,153622899
2025-11-20,169.5,169.5,144.5,155.5,405613000
2025-11-21,141.5,145.0,140.0,140.0,134957835
2025-11-24,141.0,145.5,138.5,143.0,177387374
2025-11-25,153.5,156.0,142.0,143.5,195798197
2025-11-26,142.5,145.5,133.0,136.5,165577185
2025-11-27,141.5,146.0,139.5,146.0,140139975
2025-11-28,146.0,149.5,142.5,146.0,109499388
2025-12-01,147.0,152.0,144.0,149.5,97816970
2025-12-02,152.5,152.5,144.5,149.5,122170507
2025-12-03,153.0,158.0,148.0,151.0,200254754
2025-12-04,151.0,152.5,145.5,151.0,135892677
2025-12-05,150.5,156.0,146.5,153.0,141034633
2025-12-08,156.0,163.5,156.0,163.5,48697439
2025-12-09,165.0,165.0,159.0,162.0,27319281
2025-12-10,162.0,162.5,155.0,156.0,26800283
2025-12-11,160.0,160.0,156.0,156.0,15169179
2025-12-12,158.0,162.0,158.0,162.0,26669665
2025-12-15,157.0,163.0,156.0,162.5,17448943
2025-12-16,160.0,161.0,154.5,158.0,25043527
2025-12-17,160.5,164.5,158.5,164.5,30151093
2025-12-18,164.5,171.0,164.5,170.0,40687506
2025-12-19,177.0,177.0,170.0,174.5,38432181
2025-12-22,184.5,186.0,178.5,180.0,156426861
2025-12-23,181.0,181.5,176.0,176.5,74676446
2025-12-24,177.5,190.0,175.0,189.0,118963502
2025-12-26,190.5,191.5,187.0,189.0,78418819
2025-12-29,189.5,191.0,184.5,188.5,72720023
2025-12-30,189.0,200.0,189.0,194.5,152110265
2025-12-31,196.5,201.0,189.5,193.0,115478826
2026-01-02,192.5,208.5,191.0,207.0,138960869
2026-01-05,211.0,213.0,206.5,208.0,114428383
2026-01-06,214.0,228.5,213.0,228.5,154970722
2026-01-07,242.0,248.0,230.0,241.0,166211293
2026-01-08,239.5,247.0,237.0,241.5,90272147
2026-01-09,233.0,233.0,217.5,217.5,21095873
2026-01-12,225.5,239.0,222.0,239.0,15870590
2026-01-13,245.0,245.0,224.5,230.0,11040441
2026-01-14,225.0,236.5,225.0,236.5,10586482
2026-01-15,235.5,242.5,235.5,237.5,7581987
2026-01-16,244.5,255.0,244.5,250.0,16081545
2026-01-19,270.0,275.0,270.0,275.0,13083599
2026-01-20,247.5,274.0,247.5,272.0,27036020
2026-01-21,266.0,267.0,245.0,251.0,28926625
2026-01-22,270.0,276.0,262.0,266.5,22556646
2026-01-23,275.0,282.5,256.0,271.5,167399779
2026-01-26,279.5,295.0,274.5,286.0,112336106
2026-01-27,283.0,286.0,274.0,277.0,76875660
2026-01-28,288.0,299.5,285.0,297.0,118256822
2026-01-29,306.0,313.0,287.0,297.0,128064431
2026-01-30,303.5,326.5,303.5,326.5,127839132
2026-02-02,310.0,310.0,294.0,294.0,99879925
2026-02-03,312.0,314.5,265.0,277.5,177860167
2026-02-04,279.5,298.0,273.5,295.0,102753596
2026-02-05,282.0,286.0,269.0,275.0,88050378
2026-02-06,260.0,277.5,251.0,264.0,133131168
2026-02-09,282.5,283.0,269.0,274.5,88633773
2026-02-10,276.5,281.0,263.5,271.0,96717244
2026-02-11,266.5,281.0,264.5,278.0,91754473
2026-02-23,295.0,298.5,286.5,289.0,92665480
2026-02-24,292.0,303.0,286.0,298.0,94108231
2026-02-25,298.0,298.0,283.0,288.0,68339903
2026-02-26,290.0,291.5,277.0,285.5,65835407
2026-03-02,268.0,291.0,267.5,285.0,53402138
2026-03-03,287.0,288.0,256.5,256.5,90115002
2026-03-04,238.0,246.5,231.0,234.5,106985500
2026-03-05,257.5,257.5,257.5,257.5,21495563
2026-03-06,259.0,262.0,232.5,233.0,161663082
2026-03-09,210.0,210.0,210.0,210.0,22142051
2026-03-10,220.0,231.0,215.0,231.0,115081371
2026-03-11,245.0,254.0,240.0,254.0,90316151
2026-03-12,257.0,261.5,239.0,239.5,152212129
2026-03-13,237.5,245.5,235.0,238.0,95267222
2026-03-16,247.0,261.5,245.5,261.5,93491414
2026-03-17,267.0,284.5,266.5,271.5,132621447
2026-03-18,284.5,288.5,271.5,276.0,102342490
2026-03-19,268.5,272.5,260.0,260.0,84244597
2026-03-20,264.5,264.5,234.0,234.0,159686881
2026-03-23,217.5,230.0,217.5,223.0,78708847
2026-03-24,226.5,227.0,204.0,216.5,149698558
2026-03-25,226.5,229.5,218.5,226.5,97313083
2026-03-26,249.0,249.0,225.0,225.5,185144097
2026-03-27,217.0,220.0,207.0,219.5,133271176
