date,open,high,low,close,volume
2025-02-24,125.15,127.74,124.61,126.15,244392
2025-02-25,125.13,125.17,122.83,123.0,221901
2025-02-26,122.96,124.05,122.35,124.05,179243
2025-02-27,124.24,127.34,124.05,127.0,370795
2025-02-28,126.85,129.95,125.75,125.83,337202
2025-03-03,125.83,129.85,124.6,125.09,210355
2025-03-04,124.31,124.61,122.96,124.0,149348
2025-03-05,124.0,124.25,121.87,122.86,199366
2025-03-06,123.58,126.05,122.9,125.93,235857
2025-03-07,125.45,129.05,125.16,129.05,340073
2025-03-10,128.75,128.75,125.91,126.94,206353
2025-03-11,125.76,129.46,125.71,129.45,321036
2025-03-12,129.55,130.46,126.87,127.22,288018
2025-03-13,127.22,128.57,126.5,126.64,167923
2025-03-14,127.25,136.23,127.25,135.05,765516
2025-03-17,136.65,137.21,133.63,134.09,387730
2025-03-18,134.47,134.8,132.97,133.8,186735
2025-03-19,133.8,135.04,132.61,133.17,168157
2025-03-20,133.13,133.25,130.11,130.24,228722
2025-03-21,129.95,131.75,128.44,128.85,197130
2025-03-24,128.31,129.18,127.28,128.56,180489
2025-03-25,128.85,128.95,126.85,127.81,175671
2025-03-26,127.79,128.13,127.14,127.6,108826
2025-03-27,127.33,129.02,126.75,128.15,140866
2025-03-28,128.33,128.5,126.65,127.48,120996
2025-03-31,127.46,127.63,125.6,125.6,144855
2025-04-01,125.68,126.5,125.39,126.04,121705
2025-04-02,126.12,126.8,125.31,125.4,101025
2025-04-03,123.8,127.73,123.64,126.25,165623
2025-04-07,122.75,124.7,118.05,121.03,463093
2025-04-08,121.03,125.49,121.03,125.01,331857
2025-04-09,123.75,127.09,123.6,126.5,296999
2025-04-10,126.55,127.74,124.75,127.4,233106
2025-04-11,126.45,127.72,124.83,125.85,174293
2025-04-14,125.75,126.92,125.26,125.29,125781
2025-04-15,125.25,125.7,124.33,125.6,114825
2025-04-16,125.05,126.8,123.93,126.55,166680
2025-04-17,125.58,127.24,125.25,126.78,152923
2025-04-18,126.26,126.82,125.46,126.0,89478
2025-04-21,125.84,126.25,124.39,124.59,144364
2025-04-22,124.45,124.99,123.75,124.35,115855
2025-04-23,124.73,124.95,123.8,124.22,95944
2025-04-24,124.05,124.45,123.26,123.31,131524
2025-04-25,123.45,124.47,123.21,123.3,107183
2025-04-28,124.36,125.91,124.15,125.1,185045
2025-04-29,124.4,124.85,123.54,123.8,124796
2025-04-30,123.86,124.55,122.92,122.95,146627
2025-05-06,123.25,123.8,122.32,123.74,146349
2025-05-07,125.15,126.06,124.05,124.24,152470
2025-05-08,123.96,127.25,123.53,126.05,208023
2025-05-09,126.05,126.35,125.26,125.83,110548
2025-05-12,126.25,127.5,125.75,127.22,164560
2025-05-13,127.91,127.91,126.68,127.24,120395
2025-05-14,126.96,131.43,126.42,129.51,291490
2025-05-15,129.26,129.84,127.86,127.92,144944
2025-05-16,127.63,127.84,125.3,125.33,173543
2025-05-19,123.45,124.35,123.13,123.55,237008
2025-05-20,123.25,123.88,123.12,123.38,159369
2025-05-21,123.38,124.13,123.25,123.51,141693
2025-05-22,123.52,123.72,123.09,123.34,96055
2025-05-23,123.3,123.91,122.4,122.4,150380
2025-05-26,122.22,122.4,120.14,120.66,273615
2025-05-27,120.53,121.2,120.14,120.41,151268
2025-05-28,120.55,121.38,119.75,121.17,181385
2025-05-29,120.85,121.75,120.15,121.57,160347
2025-05-30,121.25,121.8,120.25,120.69,146828
2025-06-03,119.43,119.8,118.82,118.93,237483
2025-06-04,118.93,119.47,118.35,118.8,193503
2025-06-05,118.8,119.75,118.44,119.28,202312
2025-06-06,119.22,120.1,118.95,119.34,118885
2025-06-09,119.34,119.45,118.86,119.21,198429
2025-06-10,119.05,119.35,118.53,118.64,171053
2025-06-11,118.65,119.45,118.45,118.95,145473
2025-06-12,118.75,118.8,116.63,116.75,380660
2025-06-13,116.14,116.15,113.27,113.37,366962
2025-06-16,112.08,112.69,111.25,112.52,271489
2025-06-17,112.46,113.09,111.68,111.96,196502
2025-06-18,112.94,113.69,112.12,112.58,200491
2025-06-19,111.8,112.7,111.35,111.53,163572
2025-06-20,111.75,114.25,111.63,113.81,296814
2025-06-23,113.15,113.34,112.04,112.53,173387
2025-06-24,112.82,114.24,112.65,114.0,178958
2025-06-25,114.25,114.47,113.13,114.43,178647
2025-06-26,114.36,114.89,113.88,113.98,166373
2025-06-27,113.96,114.18,113.29,113.43,160216
2025-06-30,113.43,113.83,112.53,113.15,223680
2025-07-01,113.24,113.24,112.53,112.88,122183
2025-07-02,112.88,114.15,112.76,113.43,154477
2025-07-03,113.43,114.08,113.15,113.87,122430
2025-07-04,113.54,115.0,113.44,114.64,170679
2025-07-07,114.46,114.77,114.06,114.16,85811
2025-07-08,114.1,115.12,114.08,115.03,116631
2025-07-09,115.08,117.1,114.74,115.85,203496
2025-07-10,115.28,117.13,115.15,116.83,162716
2025-07-11,116.82,119.23,116.47,118.55,287189
2025-07-14,118.61,119.79,117.65,119.66,219140
2025-07-15,119.07,119.77,118.57,119.25,193328
2025-07-16,118.85,120.13,118.85,119.53,178699
2025-07-17,119.53,120.36,119.12,120.07,172999
2025-07-18,120.3,122.07,119.28,121.2,210209
2025-07-21,121.2,121.21,119.67,119.98,187784
2025-07-22,119.98,123.31,119.98,122.95,303772
2025-07-23,123.12,124.3,122.55,122.62,229067
2025-07-24,122.57,123.18,121.92,122.97,156012
2025-07-25,122.97,123.02,120.89,120.96,184007
2025-07-28,120.94,121.59,119.42,121.48,178511
2025-07-29,120.92,121.41,119.62,120.94,185151
2025-07-30,120.98,122.57,120.7,121.94,224124
2025-07-31,121.44,121.52,118.27,118.57,304687
2025-08-01,118.56,119.04,117.81,118.42,123226
2025-08-04,118.05,118.65,117.87,118.34,85933
2025-08-05,118.37,119.64,118.37,119.37,139446
2025-08-06,119.39,119.92,118.91,119.58,119684
2025-08-07,119.55,120.56,119.37,119.97,115703
2025-08-08,119.97,120.3,119.38,119.64,82426
2025-08-11,119.57,121.77,119.53,121.36,182660
2025-08-12,121.32,122.75,120.43,120.61,211374
2025-08-13,120.43,120.89,119.94,120.61,155823
2025-08-14,120.6,122.27,120.19,120.26,199063
2025-08-15,119.96,120.72,119.32,120.52,193943
2025-08-18,120.52,122.08,120.23,121.17,255301
2025-08-19,121.19,123.17,121.19,121.83,327242
2025-08-20,121.84,123.92,120.77,123.2,404310
2025-08-21,123.22,123.55,122.28,122.87,231895
2025-08-22,122.87,123.24,122.37,123.21,204850
2025-08-25,123.6,127.51,123.6,127.35,479800
2025-08-26,127.35,129.27,126.07,127.16,349794
2025-08-27,126.92,126.92,124.02,124.04,346847
2025-08-28,124.03,124.62,121.42,122.89,345835
2025-08-29,123.6,127.22,123.54,126.95,435251
2025-09-01,127.42,127.52,124.94,126.29,316942
2025-09-02,125.83,128.54,125.53,125.98,349162
2025-09-03,126.42,128.92,123.81,124.04,302863
2025-09-04,123.72,123.92,122.15,122.93,261873
2025-09-05,122.82,124.44,122.22,124.23,201734
2025-09-08,124.12,126.57,123.68,126.51,305364
2025-09-09,126.5,126.8,125.0,126.22,184406
2025-09-10,126.22,126.9,125.08,125.48,199645
2025-09-11,124.84,125.96,124.22,125.94,229973
2025-09-12,125.92,127.09,124.54,124.61,262704
2025-09-15,124.02,124.52,123.47,124.07,166569
2025-09-16,124.07,124.27,122.82,123.22,191087
2025-09-17,123.23,123.75,122.24,123.38,181336
2025-09-18,123.37,123.38,120.95,121.36,275478
2025-09-19,121.35,122.02,120.22,121.5,196688
2025-09-22,121.02,121.12,119.6,119.92,196433
2025-09-23,119.43,120.68,118.98,119.61,172079
2025-09-24,119.61,120.27,119.22,119.79,130564
2025-09-25,119.82,120.08,118.93,118.94,194555
2025-09-26,118.94,119.09,117.44,117.59,261925
2025-09-29,117.68,119.99,117.21,119.34,256358
2025-09-30,118.86,119.25,118.29,118.9,154571
2025-10-09,118.86,118.86,117.31,118.58,203757
2025-10-10,118.56,119.54,118.07,118.15,175360
2025-10-13,117.07,117.82,116.66,117.27,195835
2025-10-14,117.99,119.99,117.44,119.49,291656
2025-10-15,118.76,120.07,118.48,119.49,194596
2025-10-16,119.17,120.17,118.92,120.16,198478
2025-10-17,119.42,120.38,118.48,118.49,180408
2025-10-20,118.77,118.97,117.52,117.88,131645
2025-10-21,118.2,118.92,117.77,117.94,147294
2025-10-22,117.42,118.19,117.32,117.52,127827
2025-10-23,117.42,118.87,117.38,118.75,155718
2025-10-24,118.39,118.7,117.52,117.71,174322
2025-10-27,117.47,117.97,117.3,117.71,143943
2025-10-28,117.71,118.11,117.43,117.52,140195
2025-10-29,117.28,117.37,115.63,116.25,245083
2025-10-30,115.43,116.97,115.42,115.89,204330
2025-10-31,112.82,117.06,112.82,116.41,421077
2025-11-03,115.92,117.02,114.92,116.4,223270
2025-11-04,116.2,116.41,114.43,114.58,172734
2025-11-05,113.77,114.42,113.42,113.6,164630
2025-11-06,113.93,114.72,113.48,113.59,154673
2025-11-07,113.59,114.41,113.37,114.17,145436
2025-11-10,114.17,119.0,113.96,118.22,429065
2025-11-11,117.67,118.39,116.62,118.2,229268
2025-11-12,118.21,119.92,117.77,117.8,222544
2025-11-13,117.42,118.69,117.05,118.62,160023
2025-11-14,118.1,119.41,117.61,117.63,139244
2025-11-17,117.44,117.95,116.43,117.57,117388
2025-11-18,117.42,119.17,117.18,117.78,147669
2025-11-19,117.74,117.91,117.12,117.31,95150
2025-11-20,117.3,119.06,117.02,117.67,158258
2025-11-21,117.53,118.83,116.83,117.1,205072
2025-11-24,117.17,117.88,115.92,115.94,173011
2025-11-25,115.94,116.33,115.25,115.93,146609
2025-11-26,115.94,116.71,115.42,115.68,91698
2025-11-27,115.72,115.91,115.12,115.36,92157
2025-11-28,115.32,115.36,114.77,115.27,80296
2025-12-01,115.22,116.04,114.52,115.07,120912
2025-12-02,115.02,115.19,113.92,113.99,124928
2025-12-03,114.14,114.47,112.92,113.02,165871
2025-12-04,113.03,113.17,111.54,111.87,169292
2025-12-05,111.89,112.79,111.63,112.38,117682
2025-12-08,112.27,112.55,110.52,110.69,276979
2025-12-09,110.42,110.5,107.92,108.3,304310
2025-12-10,107.92,109.17,106.93,109.04,178696
2025-12-11,109.42,110.15,109.2,109.32,157884
2025-12-12,109.72,111.12,109.02,109.02,257022
2025-12-15,109.72,110.68,109.47,109.87,215686
2025-12-16,109.42,110.51,109.08,110.42,145068
2025-12-17,110.42,111.17,109.52,110.82,153140
2025-12-18,110.82,111.16,110.33,110.43,124629
2025-12-19,110.65,110.88,110.04,110.53,138187
2025-12-22,110.51,110.8,110.12,110.33,108465
2025-12-23,110.13,110.43,109.33,109.72,113540
2025-12-24,109.5,109.59,108.78,109.28,117905
2025-12-25,109.28,110.7,109.2,110.6,125708
2025-12-26,110.1,110.49,109.44,109.78,114759
2025-12-29,109.44,109.6,108.0,108.06,195453
2025-12-30,107.9,107.99,107.02,107.36,158470
2025-12-31,107.19,107.25,105.61,105.94,208677
2026-01-05,105.9,108.19,105.7,107.9,222669
2026-01-06,107.92,108.43,106.92,108.17,186232
2026-01-07,108.18,108.34,107.4,107.52,123092
2026-01-08,107.38,107.38,106.66,106.9,129121
2026-01-09,107.05,108.55,106.88,107.14,160750
2026-01-12,107.15,108.85,107.13,108.55,233356
2026-01-13,108.99,109.22,107.82,108.0,197374
2026-01-14,107.88,108.84,106.68,107.04,225609
2026-01-15,106.7,107.22,106.02,106.09,162929
2026-01-16,106.25,106.41,105.05,105.16,198710
2026-01-19,104.99,105.38,104.34,104.55,182299
2026-01-20,104.5,105.47,104.3,104.91,172817
2026-01-21,104.62,104.7,103.0,103.05,262283
2026-01-22,103.07,103.72,102.61,102.76,186915
2026-01-23,102.8,103.71,102.7,102.99,214559
2026-01-26,102.96,103.5,101.06,102.34,312961
2026-01-27,102.12,102.33,101.02,101.02,225287
2026-01-28,101.03,101.85,100.63,100.7,266767
2026-01-29,100.7,110.77,100.5,110.77,986604
2026-01-30,110.77,110.78,105.0,105.0,668171
2026-02-02,105.08,110.76,105.08,107.29,531977
2026-02-03,107.08,108.78,106.6,107.28,331643
2026-02-04,106.5,109.41,106.28,108.52,378917
2026-02-05,107.9,110.55,107.66,108.89,372846
2026-02-06,108.9,109.73,106.81,107.0,276522
2026-02-09,106.8,107.69,106.47,107.36,208892
2026-02-10,107.18,107.18,105.79,106.5,185040
2026-02-11,106.31,106.65,105.85,106.04,114996
2026-02-12,105.9,106.11,104.4,104.62,181730
2026-02-13,104.7,106.88,104.17,106.06,241240
2026-02-24,108.18,109.19,105.0,105.16,210144
2026-02-25,105.0,106.11,104.87,105.17,161529
2026-02-26,105.0,105.33,103.6,103.88,192325
2026-02-27,103.88,104.55,103.88,104.05,119188
2026-03-02,103.0,104.6,102.34,103.22,204064
2026-03-03,103.01,104.38,101.9,102.55,230595
2026-03-04,102.0,102.01,100.75,101.02,183018
2026-03-05,101.62,101.97,101.15,101.45,100521
2026-03-06,101.34,102.49,101.05,102.4,112916
2026-03-09,101.32,102.6,101.27,101.52,177781
2026-03-10,101.88,102.39,101.76,102.05,111694
2026-03-11,102.05,102.35,101.59,102.18,107801
2026-03-12,102.0,102.73,101.6,102.27,116614
2026-03-13,102.06,103.66,101.85,102.95,153187
2026-03-16,102.8,105.31,102.7,104.54,203049
2026-03-17,104.54,105.82,104.0,104.79,177702
2026-03-18,104.79,104.99,103.4,103.72,117209
2026-03-19,103.01,103.41,102.51,102.53,114373
2026-03-20,102.53,103.18,101.9,102.4,102865
2026-03-23,101.4,101.78,100.04,100.23,205190
2026-03-24,100.88,101.46,100.04,101.34,117508
2026-03-25,101.35,102.58,100.88,102.45,108590
2026-03-26,102.2,102.89,101.28,101.28,95924
2026-03-27,100.5,102.88,100.41,102.65,102958
